Address A,Address B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A,Label
10.0.0.21,10.0.0.41,16,2960,8,1480,8,1480,10.89157163,6.113212941,1936.788415,1936.788415,Low
10.0.0.22,10.0.0.23,8,1480,4,740,4,740,10.86705932,0.47045166,12583.65206,12583.65206,Low
10.0.0.22,10.0.0.25,8,1480,4,740,4,740,10.94325775,1.018758048,5810.997039,5810.997039,Low
10.0.0.22,10.0.0.24,8,1480,4,740,4,740,10.94331737,0.740870434,7990.600958,7990.600958,Low
10.0.0.22,10.0.0.26,16,2960,8,1480,8,1480,10.96160551,1.59232774,7435.655175,7435.655175,Low
10.0.0.22,10.0.0.27,16,2960,8,1480,8,1480,10.96163924,1.87508694,6314.373882,6314.373882,Low
10.0.0.22,10.0.0.34,16,2960,8,1480,8,1480,11.0043752,4.198957374,2819.747605,2819.747605,Low
10.0.0.22,10.0.0.35,16,2960,8,1480,8,1480,11.00440917,4.358993013,2716.22367,2716.22367,Low
10.0.0.22,10.0.0.29,16,2960,8,1480,8,1480,11.00443046,2.587015736,4576.701964,4576.701964,Low
10.0.0.22,10.0.0.28,16,2960,8,1480,8,1480,11.00447115,2.20193019,5377.100534,5377.100534,Low
10.0.0.22,10.0.0.31,16,2960,8,1480,8,1480,11.00449235,2.992070041,3957.126617,3957.126617,Low
10.0.0.22,10.0.0.30,16,2960,8,1480,8,1480,11.00451146,2.826816064,4188.457873,4188.457873,Low
10.0.0.22,10.0.0.33,16,2960,8,1480,8,1480,11.00453106,3.867026978,3061.783656,3061.783656,Low
10.0.0.22,10.0.0.32,16,2960,8,1480,8,1480,11.00455049,3.634881571,3257.327582,3257.327582,Low
10.0.0.22,10.0.0.36,16,2960,8,1480,8,1480,11.0112035,4.864721672,2433.849416,2433.849416,Low
10.0.0.22,10.0.0.38,16,2960,8,1480,8,1480,11.01125071,5.130449332,2307.790066,2307.790066,Low
10.0.0.22,10.0.0.37,16,2960,8,1480,8,1480,11.06774036,5.024740621,2356.340534,2356.340534,Low
10.0.0.22,10.0.0.39,16,2960,8,1480,8,1480,11.17167765,5.579048075,2122.225842,2122.225842,Low
10.0.0.22,10.0.0.40,16,2960,8,1480,8,1480,11.17168177,5.703404698,2075.952984,2075.952984,Low
10.0.0.22,10.0.0.41,16,2960,8,1480,8,1480,11.17168571,5.833107566,2029.792845,2029.792845,Low
10.0.0.22,10.0.0.43,16,2960,8,1480,8,1480,11.22625263,6.412043,1846.525359,1846.525359,Low
10.0.0.22,10.0.0.44,16,2960,8,1480,8,1480,11.22631138,6.689211682,1770.01425,1770.01425,Low
10.0.0.22,10.0.0.42,16,2960,8,1480,8,1480,11.22631692,5.976233452,1981.180972,1981.180972,Low
10.0.0.22,10.0.0.45,16,2960,8,1480,8,1480,11.22631993,6.742340971,1756.066632,1756.066632,Low
10.0.0.22,10.0.0.46,16,2960,8,1480,8,1480,11.22632384,7.123032978,1662.213279,1662.213279,Low
10.0.0.22,10.0.0.47,16,2960,8,1480,8,1480,11.22632739,7.443315672,1590.688951,1590.688951,Low
10.0.0.22,10.0.0.49,16,2960,8,1480,8,1480,11.22633492,8.408068604,1408.171193,1408.171193,Low
10.0.0.22,10.0.0.48,16,2960,8,1480,8,1480,11.22633826,7.891719886,1500.306672,1500.306672,Low
10.0.0.23,10.0.0.24,8,1480,4,740,4,740,11.34642154,0.337847458,17522.70103,17522.70103,Low
10.0.0.23,10.0.0.25,8,1480,4,740,4,740,11.34642534,0.688376321,8599.947179,8599.947179,Low
10.0.0.23,10.0.0.26,16,2960,8,1480,8,1480,11.42711264,1.126828249,10507.36881,10507.36881,Low
10.0.0.23,10.0.0.27,16,2960,8,1480,8,1480,11.42713469,1.409649941,8399.248392,8399.248392,Low
10.0.0.23,10.0.0.28,16,2960,8,1480,8,1480,11.42715953,1.826171309,6483.510031,6483.510031,Low
10.0.0.23,10.0.0.30,16,2960,8,1480,8,1480,11.42718772,2.420175637,4892.20692,4892.20692,Low
10.0.0.23,10.0.0.29,16,2960,8,1480,8,1480,11.42720989,2.164213547,5470.809485,5470.809485,Low
10.0.0.23,10.0.0.31,16,2960,8,1480,8,1480,11.42723326,2.685938987,4408.141829,4408.141829,Low
10.0.0.23,10.0.0.32,16,2960,8,1480,8,1480,11.42729441,3.212131304,3686.026155,3686.026155,Low
10.0.0.23,10.0.0.33,16,2960,8,1480,8,1480,11.42731539,3.444274584,3437.588877,3437.588877,Low
10.0.0.23,10.0.0.35,16,2960,8,1480,8,1480,11.44044171,3.975591915,2978.172874,2978.172874,Low
10.0.0.23,10.0.0.34,16,2960,8,1480,8,1480,11.44049594,3.798078718,3117.365615,3117.365615,Low
10.0.0.23,10.0.0.39,16,2960,8,1480,8,1480,11.44051613,5.310168589,2229.684388,2229.684388,Low
10.0.0.23,10.0.0.38,16,2960,8,1480,8,1480,11.44084713,4.700877942,2518.678457,2518.678457,Low
10.0.0.23,10.0.0.36,16,2960,8,1480,8,1480,11.44087959,4.435110708,2669.606416,2669.606416,Low
10.0.0.23,10.0.0.37,16,2960,8,1480,8,1480,11.44089978,4.651550361,2545.387899,2545.387899,Low
10.0.0.23,10.0.0.40,16,2960,8,1480,8,1480,11.44091955,5.504602783,2150.927227,2150.927227,Low
10.0.0.23,10.0.0.41,16,2960,8,1480,8,1480,11.44097682,5.615783365,2108.343437,2108.343437,Low
10.0.0.23,10.0.0.42,16,2960,8,1480,8,1480,11.58431077,5.61825554,2107.415712,2107.415712,Low
