Address A,Address B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A,Label
10.0.0.20,10.0.0.21,8,1480,4,740,4,740,15.08280593,21.62157682,273.8005673,273.8005673,
10.0.0.20,10.0.0.11,16,2960,8,1480,8,1480,15.19833023,3.908050437,3029.643601,3029.643601,
10.0.0.20,10.0.0.29,16,2960,8,1480,8,1480,18.50195095,5.183278386,2284.268588,2284.268588,
10.0.0.20,10.0.0.26,16,2960,8,1480,8,1480,21.14468386,10.54182155,1123.145553,1123.145553,
10.0.0.20,10.0.0.47,16,2960,8,1480,8,1480,22.63296152,5.522736524,2143.864722,2143.864722,
10.0.0.20,10.0.0.43,16,2960,8,1480,8,1480,24.32925158,6.877089899,1721.658459,1721.658459,
10.0.0.20,10.0.0.12,16,2960,8,1480,8,1480,27.27629936,6.054927871,1955.432047,1955.432047,
10.0.0.20,10.0.0.49,16,2960,8,1480,8,1480,30.43536038,7.160401703,1653.538515,1653.538515,
10.0.0.20,10.0.0.30,16,2960,8,1480,8,1480,33.72816943,1.998918294,5923.203582,5923.203582,
10.0.0.21,10.0.0.37,16,2960,8,1480,8,1480,5.484533956,18.42797461,642.5014279,642.5014279,
10.0.0.21,10.0.0.38,16,2960,8,1480,8,1480,7.281354366,29.25647656,404.6967165,404.6967165,
10.0.0.21,10.0.0.47,16,2960,8,1480,8,1480,7.385782524,22.09060383,535.9744845,535.9744845,
10.0.0.21,10.0.0.34,16,2960,8,1480,8,1480,7.679744969,0.276689326,42791.67603,42791.67603,
10.0.0.21,10.0.0.44,16,2960,8,1480,8,1480,7.927173455,11.35956799,1042.293159,1042.293159,
10.0.0.21,10.0.0.16,16,2960,8,1480,8,1480,8.504273362,28.41515049,416.6791234,416.6791234,
10.0.0.21,10.0.0.29,16,2960,8,1480,8,1480,8.869017584,16.80553183,704.5299201,704.5299201,
10.0.0.21,10.0.0.28,16,2960,8,1480,8,1480,9.033438701,0.500937305,23635.69229,23635.69229,
10.0.0.21,10.0.0.39,16,2960,8,1480,8,1480,9.53260093,18.22795257,649.5518328,649.5518328,
10.0.0.21,10.0.0.10,16,2960,8,1480,8,1480,11.08407302,16.86307155,702.1259422,702.1259422,
10.0.0.21,10.0.0.19,8,1480,4,740,4,740,11.44986368,11.65679502,507.8582911,507.8582911,
10.0.0.21,10.0.0.40,16,2960,8,1480,8,1480,13.5005673,13.79435471,858.3221359,858.3221359,
10.0.0.21,10.0.0.24,8,1480,4,740,4,740,15.67560018,19.65769079,301.1543961,301.1543961,
10.0.0.21,10.0.0.25,8,1480,4,740,4,740,17.5530283,2.109970099,2805.726964,2805.726964,
10.0.0.21,10.0.0.33,16,2960,8,1480,8,1480,18.20611303,15.9989405,740.049005,740.049005,
10.0.0.21,10.0.0.11,16,2960,8,1480,8,1480,20.70490384,3.324190066,3561.769864,3561.769864,
10.0.0.21,10.0.0.45,16,2960,8,1480,8,1480,21.16191516,0.411535946,28770.26932,28770.26932,
10.0.0.21,10.0.0.14,16,2960,8,1480,8,1480,25.39828102,4.747482496,2493.953376,2493.953376,
10.0.0.21,10.0.0.49,16,2960,8,1480,8,1480,27.61396729,8.605916146,1375.797742,1375.797742,
10.0.0.21,10.0.0.26,16,2960,8,1480,8,1480,30.35527012,4.147883488,2854.467835,2854.467835,
10.0.0.21,10.0.0.43,16,2960,8,1480,8,1480,38.27778333,1.152496452,10273.3505,10273.3505,
10.0.0.22,10.0.0.45,16,2960,8,1480,8,1480,5.337767289,15.71627841,753.3590135,753.3590135,
