Address A,Address B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
10.0.0.35,10.0.0.27,24,4440,12,2220,12,2220,9.451658424,2.109297201,8419.866101,8419.866101
10.0.0.36,10.0.0.30,24,4440,12,2220,12,2220,5.132834513,4.034060984,4402.511531,4402.511531
10.0.0.36,10.0.0.49,24,4440,12,2220,12,2220,5.160206552,3.61801184,4908.773322,4908.773322
10.0.0.36,10.0.0.12,24,4440,12,2220,12,2220,5.257907868,6.873075295,2583.996135,2583.996135
10.0.0.36,10.0.0.47,24,4440,12,2220,12,2220,5.271106067,0.237709133,74713.15795,74713.15795
10.0.0.36,10.0.0.29,24,4440,12,2220,12,2220,5.544424206,5.74086149,3093.612349,3093.612349
10.0.0.36,10.0.0.44,24,4440,12,2220,12,2220,6.078426576,3.692933224,4809.185253,4809.185253
10.0.0.36,10.0.0.41,8,1480,4,740,4,740,6.135417913,2.63725606,2244.757379,2244.757379
10.0.0.36,10.0.0.19,16,2960,8,1480,8,1480,6.460294693,4.084953964,2898.441477,2898.441477
10.0.0.36,10.0.0.37,8,1480,4,740,4,740,6.81538713,4.327069584,1368.131454,1368.131454
10.0.0.36,10.0.0.21,16,2960,8,1480,8,1480,6.935209178,0.809608411,14624.354,14624.354
10.0.0.36,10.0.0.24,16,2960,8,1480,8,1480,7.005090339,4.487287815,2638.564872,2638.564872
10.0.0.36,10.0.0.48,24,4440,12,2220,12,2220,7.288799967,4.901734543,3623.207223,3623.207223
10.0.0.36,10.0.0.16,24,4440,12,2220,12,2220,7.336272851,0.656824001,27039.20681,27039.20681
10.0.0.36,10.0.0.27,24,4440,12,2220,12,2220,7.351498759,5.610584497,3165.445598,3165.445598
10.0.0.36,10.0.0.43,24,4440,12,2220,12,2220,7.743803874,1.223770377,14512.52648,14512.52648
10.0.0.36,10.0.0.17,24,4440,12,2220,12,2220,7.821994406,1.640152484,10828.2615,10828.2615
